label,sample_round,hit_rate,time
sampled,1,0.0032,603.8923466205597
sampled,2,0.0038,588.2966387271881
sampled,3,0.0042,597.1750798225403
sampled,4,0.0044,596.0002021789551
sampled,5,0.0032,594.561461687088
sampled,6,0.0034,596.7327008247375
sampled,7,0.0038,577.4517867565155
sampled,8,0.0038,588.207507610321
sampled,9,0.0026,586.1367318630219
sampled,10,0.0048,601.7964780330658
