iteration,hit_rate,time
1,0.0618,19.32615041732788
2,0.0632,18.642563104629517
3,0.066,19.035683393478394
4,0.0622,18.823899745941162
5,0.065,18.796939373016357
6,0.0622,18.89071273803711
7,0.0668,18.550879955291748
8,0.06,18.75956630706787
9,0.0642,18.662764072418213
10,0.062,19.511659145355225
